Technology,Keywords
machine learning,"['machine learning', 'learning paradigms', 'reinforcement learning', 'apprenticeship learning', 'inverse reinforcement learning', 'adversarial learning', 'multi-agent reinforcement learning', 'sequential decision making', 'supervised learning', 'supervised learning by classification', 'learning to rank', 'supervised learning by regression', 'ranking', 'structured outputs', 'cost-sensitive learning', 'unsupervised learning', 'topic modeling', 'motif discovery', 'anomaly detection', 'cluster analysis', 'dimensionality reduction and manifold learning', 'mixture modeling', 'source separation', 'multi-task learning', 'lifelong machine learning', 'learning under covariate shift', 'transfer learning', 'learning settings', 'learning from demonstrations', 'learning from implicit feedback', 'semi-supervised learning settings', 'active learning settings', 'online learning settings', 'batch learning', 'learning from critiques', 'machine learning algorithms', 'regularization', 'feature selection', 'dynamic programming for markov decision processes', 'value iteration', 'q-learning', 'temporal difference learning', 'policy iteration', 'approximate dynamic programming methods', 'ensemble methods', 'boosting', 'bagging', 'spectral methods', 'machine learning approaches', 'bio-inspired approaches', 'genetic algorithms', 'evolutionary robotics', 'artificial life', 'generative and developmental approaches', 'evolvable hardware', 'genetic programming', 'learning linear models', 'perceptron algorithm', 'factorization methods', 'canonical correlation analysis', 'latent dirichlet allocation', 'principal component analysis', 'non-negative matrix factorization', 'factor analysis', 'neural networks', 'learning in probabilistic graphical models', 'maximum entropy modeling', 'maximum a posteriori modeling', 'maximum likelihood modeling', 'mixture models', 'latent variable models', 'bayesian network models', 'rule learning', 'learning latent representations', 'deep belief networks', 'logical and relational learning', 'statistical relational learning', 'inductive logic learning', 'partially-observable markov decision processes', 'kernel methods', 'support vector machines', 'gaussian processes', 'classification and regression trees', 'instance-based learning', 'stochastic games', 'markov decision processes', 'cross-validation']"
simulation,['simulation']
uav,['uav']
navigation,['navigation']
infrared,['infrared']
radar,['radar']
uas,['uas']
artificial intelligence,"['artificial intelligence', 'planning and scheduling', 'multi-agent planning', 'planning with abstraction and generalization', 'robotic planning', 'evolutionary robotics', 'planning for deterministic actions', 'planning under uncertainty', 'computer vision', 'computer vision problems', 'tracking', 'shape inference', 'image segmentation', 'object detection', 'video segmentation', 'object identification', 'interest point and salient region detections', 'reconstruction', 'matching', 'object recognition', 'computer vision representations', 'image representations', 'hierarchical representations', 'appearance and texture representations', 'shape representations', 'image and video acquisition', '3d imaging', 'computational photography', 'hyperspectral imaging', 'camera calibration', 'motion capture', 'epipolar geometry', 'active vision', 'computer vision tasks', 'visual content-based indexing and retrieval', 'vision for robotics', 'scene understanding', 'scene anomaly detection', 'video summarization', 'biometrics', 'activity recognition and understanding', 'visual inspection', 'distributed artificial intelligence', 'intelligent agents', 'multi-agent systems', 'cooperation and coordination', 'mobile agents', 'philosophical/theoretical foundations of artificial intelligence', 'theory of mind', 'cognitive science', 'natural language processing', 'language resources', 'phonology / morphology', 'speech recognition', 'discourse, dialogue and pragmatics', 'natural language generation', 'information extraction', 'machine translation', 'lexical semantics', 'search methodologies', 'randomized search', 'discrete space search', 'game tree search', 'heuristic function construction', 'continuous space search', 'abstraction and micro-operators', 'search with partial observations', 'knowledge representation and reasoning', 'probabilistic reasoning', 'ontology engineering', 'logic programming and answer set programming', 'vagueness and fuzzy logic', 'description logics', 'nonmonotonic, default reasoning and belief revision', 'spatial and physical reasoning', 'semantic networks', 'cognitive robotics', 'reasoning about belief and knowledge', 'causal reasoning and diagnostics', 'temporal reasoning', 'control methods', 'computational control theory', 'robotic planning', 'evolutionary robotics', 'motion path planning']"
modeling,['modeling']
guidance,['guidance']
